model,total_gt,path_matches,path_match_rate,correct,accurate_correct,partial_correct,acc_among_matches,overall_acc
claude,117,83,0.7094017094017094,66,44,22,0.7951807228915663,0.5641025641025641
gemini-2.5-pro,117,75,0.6410256410256411,63,37,26,0.84,0.5384615384615384
gpt,117,83,0.7094017094017094,69,52,17,0.8313253012048193,0.5897435897435898
llama3_70B,117,64,0.5470085470085471,50,42,8,0.78125,0.42735042735042733
llama3_8B,117,18,0.15384615384615385,6,4,2,0.3333333333333333,0.05128205128205128
qwen3_30B,117,64,0.5470085470085471,50,42,8,0.78125,0.42735042735042733
qwen3_8B,117,21,0.1794871794871795,14,6,8,0.6666666666666666,0.11965811965811966
